level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-01-29T23:29:56.746225,sokoban,PPO,0.5983000010019168,1261.0524000047008,0.019999999494757503,9.096699999645352,0.0014999968698248267,99.45049999805633,1370.219399999769,9,22.520655553509844,55.01119899082548,1.1566000030143186,178.05889999726787,-6.0,0.16,1.0,4,,72.0,73.7,1.7000000000000028,2.1,5.2,3.1,11.417007446289062,11.887359619140625,0.4703521728515625
2,2026-01-29T23:29:58.179151,sokoban,PPO,0.1843999998527579,1319.8230999987572,0.02040000254055485,0.07109999569365755,0.0005999972927384079,1.9824999981210567,1322.082099992258,11,2.494300000597088,1.215348874606119,1.2590999976964667,4.571900004521012,2.0,0.16,1.0,4,,73.8,73.8,0.0,2.5,4.5,2.0,11.82861328125,11.875152587890625,0.046539306640625
3,2026-01-29T23:29:59.187809,sokoban,PPO,0.20699999731732532,885.1187999971444,0.035099998058285564,0.09470000077271834,0.0011999945854768157,12.117100006435066,897.5738999943133,7,1.5091142849996686,0.31965728667053256,1.1728000026778318,1.982299996598158,7.0,0.12,1.0,3,,73.8,73.8,0.0,7.7,8.6,0.8999999999999995,11.875152587890625,11.82403564453125,-0.051116943359375
4,2026-01-29T23:30:01.616956,sokoban,PPO,0.19020000036107376,2314.5807000037166,0.02179999864893034,0.06749999738531187,0.0007999988156370819,2.1602999986498617,2317.0212999975774,20,2.960309999252786,1.5658333065000056,1.1549999981070869,5.939299997407943,2.0,0.16,1.0,4,,73.8,73.8,0.0,7.9,17.0,9.1,11.82403564453125,11.82403564453125,0.0
5,2026-01-29T23:30:02.817780,sokoban,PPO,0.2906000008806586,1085.1642999987234,0.04549999721348286,0.19179999799234793,0.0020000006770715117,4.985499996109866,1090.6796999915969,9,2.3787666666774183,1.2117272510041897,1.186900000902824,4.670299997087568,7.0,0.16,1.0,4,,73.8,73.8,0.0,13.3,3.3,-10.0,11.87286376953125,11.833953857421875,-0.038909912109375
6,2026-01-29T23:30:03.815414,sokoban,PPO,0.3316000002087094,883.2728000052157,0.03609999839682132,0.16630000027362257,0.0013999961083754897,4.482199998165015,888.2903999983682,7,3.963842858086407,1.5960974531485534,1.1994000014965422,5.556900003284682,1.0,0.16,1.0,4,,73.8,73.7,-0.09999999999999432,4.4,3.9,-0.5000000000000004,11.833953857421875,11.833953857421875,0.0
7,2026-01-29T23:30:05.038381,sokoban,PPO,0.2925999942817725,1089.6309000017936,0.07439999899361283,0.42470000335015357,0.0029000002541579306,21.565399998507928,1111.9908999971813,9,2.6186999999077263,1.5940034191072243,1.135200000135228,5.470699994475581,-1.0,0.12,1.0,3,,73.7,73.7,0.0,1.0,0.6,-0.4,11.833953857421875,11.833953857421875,0.0
8,2026-01-29T23:30:06.277171,sokoban,PPO,0.35990000469610095,1115.4444999992847,0.01889999839477241,0.061400001868605614,0.000400003045797348,12.885600001027342,1128.7707000083174,9,2.9192777769316716,1.5507596836462683,1.248100001248531,6.093099997087847,-4.0,0.16,1.0,4,,73.7,73.7,0.0,18.1,2.4,-15.700000000000001,11.833953857421875,11.833953857421875,0.0
9,2026-01-29T23:30:07.276915,sokoban,PPO,0.43140000343555585,880.8387000026414,0.0746000005165115,0.39230000402312726,0.0032000025385059416,7.469700001820456,889.2099000149756,7,2.7032428562441573,1.1097139233341045,1.2695000041276217,4.21739999728743,15.0,0.12,1.0,3,,73.6,73.5,-0.09999999999999432,4.7,3.4,-1.3000000000000003,11.833953857421875,11.782073974609375,-0.0518798828125
10,2026-01-29T23:30:08.602063,sokoban,PPO,0.38330000097630545,1210.829299998295,0.06399999983841553,0.3116000007139519,0.0024999972083605826,5.7440999953541905,1217.3347999923863,10,3.0126599987852387,1.1503834985453218,1.1633999965852126,4.3510999967111275,15.0,0.12,1.0,3,,73.5,73.5,0.0,3.7,2.5,-1.2000000000000002,11.782073974609375,11.782073974609375,0.0
11,2026-01-29T23:30:11.817304,sokoban,PPO,0.272599994787015,3095.8385999983875,0.05879999662283808,0.2674999996088445,0.0005999972927384079,12.34670000121696,3108.784799987916,27,3.117685184676062,1.5640906760420905,1.1614999966695905,5.958399997325614,7.0,0.2,1.0,5,,73.5,73.7,0.20000000000000284,1.7,2.7,1.0000000000000002,11.782073974609375,11.782073974609375,0.0
