level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-03-21T02:30:39.159254,sokoban,PPO,2.60774200069136,1365.4645790011273,0.15173599967965856,0.11186000119778328,0.14457200086326338,0.000772000930737704,12.697285001195269,1381.1785460056853,12,3.86170391630003,9.413168060521274,0.8976070021162741,35.079252997093135,13.0,0.16,1.0,4,,42.9,43.0,0.10000000000000142,3.8,5.1,1.2999999999999998,0.0,0.0,0.0
2,2026-03-21T02:30:40.080387,sokoban,PPO,0.8689130008860957,816.339760000119,0.15201600035652518,0.11473600170575082,0.11663899931591004,0.0010219991963822395,1.5883960004430264,819.1814820020227,7,1.0212709998346068,0.09762924004881375,0.9075259986275341,1.2077300016244408,7.0,0.12,1.0,3,,43.0,42.9,-0.10000000000000142,3.8,2.4,-1.4,0.0,0.0,0.0
3,2026-03-21T02:30:41.320290,sokoban,PPO,1.3525920003303327,1135.7160250008747,0.13614499766845256,0.10096999903908,0.11070799882872961,0.0007019989425316453,1.5556339967588428,1138.9727759924426,10,0.9569745994667755,0.09126937206984476,0.7733329985057935,1.0992659990733955,0.0,0.12,0.8888888888888888,3,,42.9,42.9,0.0,3.7,0.0,-3.7,0.0,0.0,0.0
4,2026-03-21T02:30:43.068365,sokoban,PPO,1.439436000509886,1642.6904889995058,0.21320000087143853,0.14551300046150573,0.16965900067589246,0.0012320015230216086,1.7725920006341767,1646.4321210041817,15,0.9701554661054009,0.0829997578313147,0.9088580009120051,1.24124300054973,3.0,0.12,0.8888888888888888,3,,42.9,42.9,0.0,6.0,0.0,-6.0,0.0,0.0,0.0
5,2026-03-21T02:30:43.991174,sokoban,PPO,1.243686998350313,819.0247359998466,0.12563700147438794,0.09089099694392644,0.09815399971557781,0.0009710020094644278,1.365997002721997,821.9500730010623,7,0.9470860001913805,0.034552546231788335,0.9134070023719687,1.0100680010509677,6.0,0.2,1.0,5,,42.9,43.0,0.10000000000000142,5.0,6.3,1.2999999999999998,0.0,0.0,0.0
6,2026-03-21T02:30:45.117871,sokoban,PPO,1.105117000406608,1021.9808140027453,0.15239699860103428,0.11535700105014257,0.14826899860054255,0.0009619980119168758,1.590358999237651,1025.0932749986532,9,1.0285900005126474,0.143649361761411,0.8882500005711336,1.2969780000275932,10.0,0.2,1.0,5,,43.0,43.0,0.0,17.7,0.0,-17.7,0.0,0.0,0.0
7,2026-03-21T02:30:46.452015,sokoban,PPO,1.6922200011322275,1228.8651130002108,0.22543399973073974,0.17673200272838585,0.24386799850617535,0.0009420000424142927,1.6501319987582974,1232.854441001109,11,0.9737547278002074,0.10751509795820124,0.9017250013130251,1.244368999323342,8.0,0.16,1.0,4,,43.0,43.0,0.0,3.8,3.7,-0.09999999999999964,0.0,0.0,0.0
8,2026-03-21T02:30:47.584068,sokoban,PPO,1.2031209989800118,1027.176439998584,0.15221600187942386,0.11445500058471225,0.11713099956978112,0.0007519993232563138,1.6119089996209368,1030.3760239985422,9,1.0423592223863427,0.1953791909366005,0.9054820002347697,1.4613560015277471,0.0,0.12,1.0,3,,43.0,43.0,0.0,3.7,2.4,-1.3000000000000003,0.0,0.0,0.0
9,2026-03-21T02:30:49.329950,sokoban,PPO,1.2944029986101668,1642.104777001805,0.11715999789885245,0.08476899893139489,0.1009600018733181,0.0006920017767697573,1.276168000913458,1644.9789290018089,15,1.0211413338159523,0.1282869118629881,0.9038389980560169,1.2781220029864926,-3.0,0.16,1.0,4,,43.0,43.0,0.0,3.7,14.8,11.100000000000001,0.0,0.0,0.0
10,2026-03-21T02:30:50.356461,sokoban,PPO,1.5277009988494683,921.288697001728,0.23996099844225682,0.18141100008506328,0.21474399909493513,0.0015229998098220676,1.7265749993384816,925.180611997348,8,0.9773331248652539,0.09084391704925268,0.9024160026456229,1.1368269988452084,11.0,0.16,1.0,4,,43.0,43.0,0.0,5.1,0.0,-5.1,0.0,0.0,0.0
