level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-01-29T23:36:50.411780,sokoban,PPO,0.6566999945789576,1526.926700003969,0.9560999969835393,0.11300000187475234,0.0008999995770864189,7.915900001535192,1536.5692999985185,12,11.584349998884136,29.926569018756634,1.4240000018617138,110.78999999881489,-2.0,0.12,1.0,3,,57.8,59.2,1.4000000000000057,8.1,3.4,-4.699999999999999,10.63847541809082,11.17100715637207,0.53253173828125
2,2026-01-29T23:36:51.741988,sokoban,PPO,0.18740000086836517,1213.3417000004556,1.1662000033538789,0.6969000023673289,0.0032000025385059416,6.262299997615628,1221.6577000071993,10,2.8242900007171556,1.2689563619843423,1.178899998194538,5.079700000351295,10.0,0.2,1.0,5,,59.2,59.1,-0.10000000000000142,13.9,3.4,-10.5,11.17100715637207,11.057329177856445,-0.113677978515625
3,2026-01-29T23:36:52.516721,sokoban,PPO,0.2973000009660609,663.5785000034957,0.1489000060246326,0.053800002206116915,0.0006999980541877449,1.991799996176269,666.071000006923,5,3.3498799995868467,1.0208640291885491,1.6039999973145314,4.609399999026209,12.0,0.2,0.8888888888888888,5,,59.1,59.1,0.0,0.5,4.4,3.9000000000000004,11.057329177856445,11.01841926574707,-0.038909912109375
4,2026-01-29T23:36:53.500352,sokoban,PPO,0.1773999974830076,870.5909999989672,0.1864000005298294,0.043799998820759356,0.0004999965312890708,1.7946000007214025,872.7936999930535,7,2.83662857067871,1.3544559013764108,1.1679000017466024,4.679799996665679,0.0,0.2,1.0,5,,59.1,59.2,0.10000000000000142,3.0,2.8,-0.20000000000000018,11.01841926574707,10.95738410949707,-0.06103515625
5,2026-01-29T23:36:54.958723,sokoban,PPO,0.18730000010691583,1338.5892000005697,0.13659999967785552,0.05679999594576657,0.0008999995770864189,11.807300004875287,1350.7781000007526,11,3.9860000000441107,1.725942627746903,1.3084999955026433,7.539700003690086,7.0,0.2,1.0,5,,59.2,59.1,-0.10000000000000142,1.7,4.7,3.0,10.95738410949707,10.95738410949707,0.0
6,2026-01-29T23:36:56.391456,sokoban,PPO,0.20619999850168824,1317.9589999999735,0.29039999935775995,0.13110000145388767,0.0012000018614344299,5.2980000036768615,1323.885900004825,11,3.3268727288073436,1.1519579547252208,1.0909000047831796,4.874700003711041,20.0,0.12,1.0,3,,59.1,59.1,0.0,8.5,6.2,-2.3,10.95738410949707,11.046743392944336,0.08935928344726562
7,2026-01-29T23:36:58.466921,sokoban,PPO,0.4597000006469898,1957.4251000012737,0.4721999939647503,0.1503000021330081,0.001600004907231778,4.247700002451893,1962.7566000053775,17,3.0972941175979725,1.2607796023912687,1.1706000004778616,5.636499998217914,1.0,0.2,1.0,5,,59.1,59.2,0.10000000000000142,2.7,3.6,0.8999999999999999,11.046743392944336,11.046743392944336,0.0
8,2026-01-29T23:36:59.917913,sokoban,PPO,0.1838000025600195,1323.9764000027208,1.1297000019112602,0.3696999992826022,0.0029000002541579306,18.47060000000056,1344.1331000067294,11,2.781309090840461,2.0866247179132684,1.119499997003004,7.1023000054992735,-4.0,0.12,1.0,3,,59.2,59.1,-0.10000000000000142,8.6,0.0,-8.6,11.046743392944336,11.128759384155273,0.0820159912109375
9,2026-01-29T23:37:01.225969,sokoban,PPO,0.2750999992713332,1194.969800002582,0.1325999983237125,0.04400000034365803,0.0006999980541877449,2.4873000002116896,1197.9094999987865,10,2.5722400001541246,1.426108744365765,1.1287999950582162,5.4466000001411885,-1.0,0.2,0.8888888888888888,5,,59.1,59.0,-0.10000000000000142,5.7,1.8,-3.9000000000000004,11.128759384155273,11.128759384155273,0.0
10,2026-01-29T23:37:02.772780,sokoban,PPO,0.20460000087041408,1431.947199998831,0.15269999857991934,0.04489999992074445,0.00039999576983973384,2.7332000026945025,1435.0829999966663,12,2.1772499991736063,1.2619160386659356,0.9225999965565279,4.554099999950267,7.0,0.2,1.0,5,,59.0,59.0,0.0,2.0,6.7,4.7,11.128759384155273,11.128759384155273,0.0
11,2026-01-29T23:37:03.992484,sokoban,PPO,0.16489999688928947,1106.2023999984376,0.1688999982434325,0.04170000465819612,0.000400003045797348,2.113499998813495,1108.6918000000878,9,1.2579444454685371,0.28360838449893144,0.8613000027253293,1.7928000015672296,2.0,0.2,1.0,5,,59.0,59.3,0.29999999999999716,6.7,4.9,-1.7999999999999998,11.126089096069336,11.077260971069336,-0.048828125
12,2026-01-29T23:37:04.998761,sokoban,PPO,0.1866999955382198,884.8185000024387,0.12319999950705096,0.038300000596791506,0.000400003045797348,11.514500001794659,896.6816000029212,7,1.2091428569484768,0.31171196300286286,0.7693000006838702,1.6677000021445565,-2.0,0.2,1.0,5,,59.3,59.1,-0.19999999999999574,7.2,5.0,-2.2,11.077260971069336,11.07182502746582,-0.005435943603515625
13,2026-01-29T23:37:06.565483,sokoban,PPO,0.15079999866429716,1444.00389999646,0.11300000187475234,0.04169999738223851,0.0004999965312890708,11.687300000630785,1455.9971999915433,12,1.0991999982555474,0.24569176871218562,0.7656999950995669,1.484399996115826,2.0,0.2,1.0,5,,59.1,59.1,0.0,6.3,6.4,0.10000000000000053,11.019182205200195,11.019182205200195,0.0
14,2026-01-29T23:37:07.686880,sokoban,PPO,0.18199999612988904,1007.2627000045031,0.1660999987507239,0.04600000102072954,0.0004999965312890708,2.217200002633035,1009.8744999995688,8,1.2072999998054001,0.28979410716574056,0.775100001192186,1.6207000007852912,5.0,0.2,1.0,5,,59.1,59.1,0.0,8.0,7.8,-0.20000000000000018,11.019182205200195,11.019182205200195,0.0
15,2026-01-29T23:37:09.575836,sokoban,PPO,0.2865999995265156,1775.1263999962248,0.16059999325079843,0.04520000220509246,0.0004999965312890708,1.992400000744965,1777.6116999884835,15,1.1385866673663259,0.2113511725601211,0.763099997129757,1.4827000049990602,5.0,0.2,1.0,5,,59.1,59.1,0.0,14.1,4.8,-9.3,11.019182205200195,11.019182205200195,0.0
16,2026-01-29T23:37:11.484861,sokoban,PPO,0.19180000526830554,1793.5385000018869,0.1205000007757917,0.055500000598840415,0.0005999972927384079,2.4377000008826144,1796.3446000067052,15,1.1429066667915322,0.5298647785138719,0.6853000013506971,2.9825000019627623,10.0,0.12,1.0,3,,59.1,59.3,0.19999999999999574,4.6,8.1,3.5,11.019182205200195,11.019182205200195,0.0
17,2026-01-29T23:37:12.821161,sokoban,PPO,0.19629999587778002,1220.3031000026385,0.12109999806853011,0.04810000245925039,0.000500003807246685,2.598200000647921,1223.2673000034993,10,1.0587000018858816,0.28921162540372386,0.7362000033026561,1.5103000041563064,8.0,0.2,1.0,5,,59.4,59.4,0.0,19.7,7.0,-12.7,11.019182205200195,11.019182205200195,0.0
18,2026-01-29T23:37:13.825620,sokoban,PPO,0.16899999900488183,890.047400003823,0.15600000187987462,0.04310000076657161,0.0006999980541877449,2.6375000015832484,893.0537000051118,7,1.1439000008977018,0.2530741127870137,0.75970000034431,1.477300000260584,-5.0,0.2,1.0,5,,59.4,59.4,0.0,7.0,16.5,9.5,11.019182205200195,11.019182205200195,0.0
19,2026-01-29T23:37:14.717853,sokoban,PPO,0.1905999961309135,778.0934999973397,0.1405000002705492,0.043799998820759356,0.0006999980541877449,2.3526000004494563,780.8216999910655,6,1.1485166651254985,0.20787145974684632,0.814600003650412,1.4956999948481098,14.0,0.2,1.0,5,,59.4,59.3,-0.10000000000000142,10.1,5.1,-5.0,11.019182205200195,11.019182205200195,0.0
20,2026-01-29T23:37:17.387502,sokoban,PPO,0.2905000001192093,2555.993699999817,0.10800000018207356,0.04709999484475702,0.0004999965312890708,2.2114000021247193,2558.6511999936192,22,1.06772727403123,0.21490795106046967,0.7609000022057444,1.4344000010169111,8.0,0.2,1.0,5,,59.3,59.3,0.0,15.6,5.9,-9.7,11.019182205200195,11.019182205200195,0.0
