level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-02-28T14:51:54.421311,zelda,PPO,0.6658000002062181,6005.684800000381,0.020600000425474718,0.0,0.14799999917158857,0.0,123.082300000533,6129.601500000717,52,3.9530865385411462,14.516098953898775,1.0194999995292164,107.5855999988562,6.0,0.05194805194805195,0.7111111111111111,4,,54.9,56.5,1.6000000000000014,11.3,5.4,-5.9,7.1796417236328125,7.886981964111328,0.7073402404785156
2,2026-02-28T14:51:58.433400,zelda,PPO,0.43229999937466346,3896.544299999732,0.019600000086938962,0.0,0.12079999942216091,0.0,2.8991999988647876,3900.0161999974807,34,2.0567058823764777,0.22826797979008848,1.5335999996750616,2.370100000916864,10.0,0.09090909090909091,0.9333333333333333,7,,56.6,56.5,-0.10000000000000142,11.2,5.3,-5.8999999999999995,7.886981964111328,7.941913604736328,0.054931640625
3,2026-02-28T14:52:02.323707,zelda,PPO,0.41369999962626025,3765.2151999991474,0.015800000255694613,0.0,0.1205000007757917,0.0,12.652800000068964,3778.417999999874,33,2.8266181816985463,1.519837163173491,1.5349999994214159,8.009600000150385,9.0,0.06493506493506493,0.7111111111111111,5,,56.5,56.7,0.20000000000000284,17.8,9.5,-8.3,7.941913604736328,7.9380035400390625,-0.003910064697265625
4,2026-02-28T14:52:07.120124,zelda,PPO,0.41989999954239465,4679.778499999884,0.015300000086426735,0.0,0.11730000005627517,0.0,2.7680999992298894,4683.099099998799,41,1.8155731708602838,0.2838536621768167,1.3152999999874737,2.457200000208104,53.0,0.05194805194805195,0.8666666666666667,4,,56.7,56.9,0.19999999999999574,17.3,4.5,-12.8,7.8800201416015625,7.8800201416015625,0.0
5,2026-02-28T14:52:12.470617,zelda,PPO,0.25289999939559493,5235.725500000626,0.012399999832268804,0.0,0.10409999958937988,0.0,2.4807999998301966,5238.575699999274,46,1.6805152173496343,0.23907542567774004,1.3306000000739004,2.334000000701053,15.0,0.1038961038961039,0.8666666666666667,8,,56.9,56.9,0.0,16.3,6.1,-10.200000000000001,7.8800201416015625,7.8800201416015625,0.0
6,2026-02-28T14:52:16.924354,zelda,PPO,0.29770000037387945,4337.964700000157,0.02119999953720253,0.0,0.11889999950653873,0.0,3.009300000485382,4341.41180000006,38,1.7414999999202432,0.21141644248470048,1.3421999992715428,2.333300000827876,18.0,0.06493506493506493,0.9333333333333333,5,,56.9,56.9,0.0,16.4,13.3,-3.099999999999998,7.8800201416015625,7.8800201416015625,0.0
7,2026-02-28T14:52:21.268722,zelda,PPO,0.26080000134243164,4230.261900000187,0.020399998902576044,0.0,0.11750000157917384,0.0,2.7319999990140786,4233.392600001025,37,1.8326675677058488,0.13859049541242777,1.495799999247538,2.169999999750871,35.0,0.1038961038961039,1.0,8,,56.9,57.1,0.20000000000000284,10.6,17.4,6.799999999999999,7.8800201416015625,7.8800201416015625,0.0
8,2026-02-28T14:52:27.827086,zelda,PPO,0.27749999935622327,6444.032499999594,0.02049999966402538,0.0,0.12210000022605527,0.0,2.5296000003436347,6446.982199999184,57,1.8261350879153102,0.1758264141663352,1.486299999669427,2.3931000014272286,5.0,0.06493506493506493,0.8888888888888888,5,,57.1,57.0,-0.10000000000000142,20.9,41.5,20.6,7.8769683837890625,7.8800201416015625,0.0030517578125
9,2026-02-28T14:52:33.041566,zelda,PPO,0.366599999324535,5100.260999999591,0.020200001017656177,0.0,0.11189999895577785,0.0,2.2778000002290355,5103.037499999118,45,1.9152666668055138,0.20171199819881502,1.5110999993339647,2.470800000082818,2.0,0.06493506493506493,0.7555555555555555,5,,56.9,57.0,0.10000000000000142,7.7,11.0,3.3,7.8800201416015625,7.886981964111328,0.006961822509765625
10,2026-02-28T14:52:37.795185,zelda,PPO,0.24919999850681052,4635.598400000163,0.04710000030172523,0.0,0.40210000042861793,0.0,6.385499998941668,4642.6822999983415,41,1.9103024389950427,0.2596249411489211,1.481099998272839,2.9905000010330696,9.0,0.06493506493506493,0.8222222222222222,5,,57.1,57.1,0.0,18.8,6.2,-12.600000000000001,7.886981964111328,7.8830718994140625,-0.003910064697265625
